"index","full_name","brand_name","resale_price","registered_year","engine_capacity(cc)","insurance","transmission_type","kms_driven","Hand","fuel_type","max_power(bhp)","seats","mileage(kmpl)","body_type","city"
0,"Maruti Baleno 1.2 Alpha","Maruti",545000,2017,1197,"1","Manual",40000,"2nd","Petrol",83.1,5.0,21.4,"Hatchback","Agra"
1,"Tata Hexa XTA","Tata",1000000,2018,2179,"1","Automatic",70000,"2nd","Diesel",153.86,7.0,17.6,"MUV","Agra"
2,"Maruti Swift Dzire VXI","Maruti",450000,2015,1197,"1","Manual",70000,"3rd","Petrol",83.14,5.0,20.85,"Sedan","Agra"
3,"Maruti Swift Dzire VXI","Maruti",450000,2015,1197,"1","Manual",70000,"3rd","Petrol",83.14,5.0,20.85,"Sedan","Agra"
4,"Hyundai i10 Magna 1.1","Hyundai",160000,2009,1086,"1","Manual",80000,"2nd","Petrol",68.05,5.0,19.81,"Hatchback","Agra"
5,"Hyundai i20 Active 1.2","Hyundai",470000,2015,1197,"1","Manual",70000,"2nd","Petrol",81.86,5.0,17.19,"Hatchback","Agra"
6,"Tata Tiago 1.05 Revotorq XZ","Tata",360000,2017,1047,"1","Manual",120000,"2nd","Diesel",69.0,5.0,27.28,"Hatchback","Agra"
7,"Hyundai i10 Magna 1.1","Hyundai",200000,2010,1086,"1","Manual",60000,"3rd","Petrol",68.05,5.0,19.81,"Hatchback","Agra"
8,"Maruti Eeco 7 Seater Standard BSIV","Maruti",370000,2016,1196,"1","Manual",20000,"2nd","Petrol",73.0,7.0,15.37,"Minivans","Agra"
9,"Hyundai Santro Xing GL","Hyundai",120000,2009,1086,"1","Manual",30000,"2nd","Petrol",62.0,5.0,0.0,"Hatchback","Agra"
10,"Honda Amaze E i-Vtech","Honda",330000,2014,1198,"1","Manual",70000,"2nd","Petrol",86.7,5.0,18.0,"Sedan","Agra"
11,"Hyundai Xcent 1.2 VTVT SX","Hyundai",475000,2018,1197,"1","Manual",60000,"3rd","Petrol",81.86,5.0,20.14,"Sedan","Agra"
12,"Maruti Ciaz Sigma BSIV","Maruti",686000,2020,1462,"1","Manual",50000,"4th","Petrol",103.25,5.0,21.56,"Sedan","Agra"
13,"Hyundai Venue SX Opt Executive Diesel","Hyundai",1250000,2021,1493,"1","Manual",60000,"2nd","Diesel",98.6,5.0,23.7,"SUV","Agra"
14,"Hyundai Venue SX Dual Tone Diesel BSIV","Hyundai",1100000,2021,1396,"1","Manual",60000,"2nd","Diesel",89.0,5.0,23.7,"SUV","Agra"
15,"Maruti Alto K10 VXI AGS Optional","Maruti",395000,2019,998,"1","Automatic",20000,"2nd","Petrol",67.1,5.0,23.95,"Hatchback","Agra"
16,"Maruti Wagon R LXI CNG","Maruti",350000,2016,998,"1","Manual",40000,"2nd","CNG",58.16,5.0,26.6,"Hatchback","Agra"
17,"Toyota Etios VX","Toyota",289000,2011,1496,"1","Manual",50000,"3rd","Petrol",88.7,5.0,17.6,"Sedan","Agra"
18,"Toyota Corolla Altis Diesel D4DGL","Toyota",282000,2011,1364,"1","Manual",150000,"2nd","Diesel",87.2,5.0,21.43,"Sedan","Agra"
19,"Kia Sonet HTX Plus Turbo iMT BSVI","Kia",1000000,2021,998,"1","Manual",10000,"2nd","Petrol",118.36,5.0,18.2,"SUV","Agra"
20,"Maruti Ciaz Alpha BSVI","Maruti",785000,2020,1462,"1","Manual",30000,"3rd","Petrol",103.25,5.0,20.65,"Sedan","Agra"
21,"Ford Ecosport 1.5 DV5 MT Ambiente","Ford",300000,2014,1498,"1","Manual",150000,"4th","Diesel",89.84,5.0,22.7,"SUV","Agra"
22,"Mitsubishi Outlander 2.4","Mitsubishi",397000,2011,2360,"1","Automatic",80000,"3rd","Petrol",170.0,5.0,11.3,"SUV","Agra"
23,"Maruti Swift Dzire VDI","Maruti",375000,2015,1248,"1","Manual",20000,"2nd","Diesel",74.0,5.0,26.59,"Sedan","Agra"
24,"Maruti Alto K10 LXI","Maruti",100000,2011,998,"1","Manual",120000,"4th","Petrol",67.1,5.0,20.92,"Hatchback","Agra"
25,"Mitsubishi Outlander 2.4","Mitsubishi",397000,2011,2360,"1","Automatic",80000,"3rd","Petrol",170.0,5.0,11.3,"SUV","Agra"
26,"Maruti Baleno Zeta","Maruti",675000,2021,1197,"1","Manual",40000,"2nd","Petrol",81.8,5.0,21.01,"Hatchback","Agra"
27,"Hyundai Xcent 1.2 VTVT SX","Hyundai",465000,2018,1197,"1","Manual",60000,"3rd","Petrol",81.86,5.0,20.14,"Sedan","Agra"
28,"Maruti Swift Dzire VXI","Maruti",480000,2015,1197,"1","Manual",80000,"3rd","Petrol",83.14,5.0,20.85,"Sedan","Agra"
29,"Maruti Alto 800 LXI","Maruti",225000,2014,796,"1","Manual",100000,"2nd","Petrol",47.3,5.0,22.74,"Hatchback","Agra"
30,"Maruti Wagon R VXI Optional","Maruti",320000,2016,998,"1","Manual",70000,"3rd","Petrol",67.04,5.0,20.51,"Hatchback","Agra"
31,"Hyundai Grand i10 Sportz","Hyundai",415000,2015,1197,"1","Manual",30000,"2nd","Petrol",82.0,5.0,18.9,"Hatchback","Agra"
32,"Maruti Swift VDI","Maruti",240000,2012,1248,"1","Manual",120000,"4th","Diesel",74.0,5.0,22.9,"Hatchback","Agra"
33,"Mahindra XUV500 W6 2WD","Mahindra",350000,2013,2179,"1","Manual",100000,"4th","Diesel",140.0,7.0,15.1,"SUV","Agra"
34,"Mahindra XUV500 W6 2WD","Mahindra",350000,2013,2179,"1","Manual",100000,"4th","Diesel",140.0,7.0,15.1,"SUV","Agra"
35,"Tata New Safari DICOR 2.2 EX 4x2","Tata",296000,2013,2179,"1","Manual",90000,"3rd","Diesel",138.1,7.0,11.57,"SUV","Agra"
36,"Tata New Safari DICOR 2.2 EX 4x2","Tata",296000,2013,2179,"1","Manual",90000,"3rd","Diesel",138.1,7.0,11.57,"SUV","Agra"
37,"Tata Tiago 1.2 Revotron XE","Tata",316000,2018,1199,"1","Manual",100000,"2nd","Petrol",84.0,5.0,23.84,"Hatchback","Agra"
38,"Maruti Vitara Brezza ZDi Plus Dual Tone","Maruti",750000,2017,1248,"1","Manual",100000,"3rd","Diesel",88.5,5.0,24.3,"SUV","Agra"
39,"Maruti Ertiga VDI","Maruti",900000,2019,1248,"1","Manual",120000,"2nd","Diesel",88.5,7.0,25.47,"MUV","Agra"
40,"Maruti Celerio VXI BSVI","Maruti",560000,2022,998,"1","Manual",10000,"2nd","Petrol",65.71,5.0,25.24,"Hatchback","Agra"
41,"Maruti Vitara Brezza ZDi Plus","Maruti",800000,2017,1248,"1","Manual",150000,"2nd","Diesel",88.5,5.0,24.3,"SUV","Agra"
42,"Hyundai Creta 1.4 E Plus","Hyundai",900000,2017,1396,"1","Manual",120000,"3rd","Diesel",88.7,5.0,22.1,"SUV","Agra"
43,"Maruti Alto 800 LXI","Maruti",280000,2019,796,"1","Manual",80000,"2nd","Petrol",47.33,5.0,22.05,"Hatchback","Agra"
44,"Toyota Innova 2.5 E Diesel MS 7-seater","Toyota",550000,2013,2494,"1","Manual",90000,"3rd","Diesel",100.6,7.0,11.4,"","Agra"
45,"Toyota Innova 2.5 G (Diesel) 7 Seater BS III","Toyota",250000,2009,2494,"1","Manual",150000,"2nd","Diesel",102.0,8.0,12.8,"MUV","Agra"
46,"Tata Manza Aqua Quadrajet","Tata",150000,2011,1248,"1","Manual",150000,"2nd","Diesel",90.0,5.0,18.8,"Sedan","Agra"
47,"Tata Manza Aqua Quadrajet","Tata",150000,2011,1248,"1","Manual",150000,"2nd","Diesel",90.0,5.0,18.8,"Sedan","Agra"
48,"Hyundai Grand i10 1.2 CRDi Sportz Option","Hyundai",480000,2017,1186,"1","Manual",20000,"2nd","Diesel",73.97,5.0,24.0,"Hatchback","Agra"
49,"Maruti Eeco CNG 5 Seater AC BSIV","Maruti",300000,2017,1196,"1","Manual",150000,"2nd","CNG",61.7,5.0,21.94,"Minivans","Agra"
50,"Maruti Eeco CNG 5 Seater AC BSIV","Maruti",300000,2017,1196,"1","Manual",150000,"2nd","CNG",61.7,5.0,21.94,"Minivans","Agra"
51,"Maruti Eeco CNG 5 Seater AC BSIV","Maruti",300000,2017,1196,"1","Manual",150000,"2nd","CNG",61.7,5.0,21.94,"Minivans","Agra"
52,"Audi A4 2.0 TDI","Audi",1200000,2014,1968,"1","Automatic",30000,"3rd","Diesel",147.51,5.0,16.55,"Sedan","Agra"
53,"Hyundai i20 Sportz BSVI","Hyundai",800000,2022,1197,"1","Manual",10000,"2nd","Petrol",81.8,5.0,21.0,"Hatchback","Agra"
